"","names","Depth","Current"
"1","PO4",0.00498923009252904,1.04636969671257
"2","PO4",0.0153036029889167,1.14073931843098
"3","PO4",0.0263124174927333,1.23979803122043
"4","PO4",0.0380624286661601,1.34367175482559
"5","PO4",0.050603539475847,1.45247700874937
"6","PO4",0.0639890127336547,1.56631945969992
"7","PO4",0.07827569730685,1.68529256045801
"8","PO4",0.0935242695584824,1.80947636064462
"9","PO4",0.109799491043354,1.93893659106343
"10","PO4",0.127170483554032,2.07372414807261
"11","PO4",0.145711022685036,2.21387513311202
"12","PO4",0.165499851161991,2.35941163535296
"13","PO4",0.186621013266471,2.51034348268623
"14","PO4",0.209164211776842,2.66667122812246
"15","PO4",0.233225188941077,2.8283906853343
"16","PO4",0.258906133099534,2.99549937873585
"17","PO4",0.286316112684657,3.16800533051044
"18","PO4",0.31557153944082,3.34593866997236
"19","PO4",0.346796662831636,3.52936662072246
"20","PO4",0.380124097734506,3.71841250027826
"21","PO4",0.415695387663554,3.91327945875416
"22","PO4",0.453661605912995,4.11427979355801
"23","PO4",0.494183997174019,4.32187081523173
"24","PO4",0.537434662350176,4.5366984198127
"25","PO4",0.583597289479718,4.75964976697643
"26","PO4",0.632867933869158,4.99191680244428
"27","PO4",0.68545585075132,5.23507284347498
"28","PO4",0.741584384004234,5.49116513264854
"29","PO4",0.801491914705305,5.76282724815573
"30","PO4",0.865432873549325,6.05341666209279
"31","PO4",0.933678821430124,6.36718472526264
"32","PO4",1.00651960277515,6.70948912941715
"33","PO4",1.08426457653127,7.0870626608286
"34","PO4",1.16724393002982,7.5083568625471
"35","PO4",1.25581008131102,7.9839843365149
"36","PO4",1.35033917586346,8.52728476181967
"37","PO4",1.45123268413539,9.15501777339365
"38","PO4",1.55891910660263,9.88803473908501
"39","PO4",1.67385579363444,10.7507335446713
"40","PO4",1.79653088788661,11.7584446215214
"41","PO4",1.92746539747113,12.8424340746417
"42","PO4",2.0672154087073,13.8852553488419
"43","PO4",2.21637444785199,14.8609226724669
"44","PO4",2.3755760018395,15.7667895752525
"45","PO4",2.54549620873657,16.6036346021001
"46","PO4",2.72685672933935,17.3741642438009
"47","PO4",2.92042781210783,18.0829235422163
"48","PO4",3.12703156445496,18.7361710009289
"49","PO4",3.34754544428361,19.3416277778571
"50","PO4",3.58290598660033,19.9080901735751
"51","PO4",3.83411278103277,20.4449058877347
"52","PO4",4.10223271714384,20.9613227149051
"53","PO4",4.38840451557238,21.4657218151428
"54","PO4",4.69384356424464,21.964739295972
"55","PO4",5.01984708019593,22.4622466985645
"56","PO4",5.36779961892533,22.9580788059732
"57","PO4",5.73917895468171,23.4504428672734
"58","PO4",6.13556235665514,23.9379377033628
"59","PO4",6.55863328772896,24.4180321982971
"60","PO4",7.01018855424254,24.8852843084528
"61","PO4",7.49214593713011,25.3301944859087
"62","PO4",8.00655233684564,25.7394023116231
"63","PO4",8.55559246666563,26.0972865801314
"64","PO4",9.14159813129083,26.3888682007622
"65","PO4",9.76705813015358,26.6040462465557
"66","PO4",10.4346288274908,26.7424271589034
"67","PO4",11.1471454340741,26.8163560801722
"68","PO4",11.9076340485115,26.8480247325216
"69","PO4",12.7193245092605,26.8593132190323
"70","PO4",13.5856641119359,26.8631430548699
"71","PO4",14.510332250171,26.8645311852399
"72","PO4",15.4972560422111,26.8651061494694
"73","PO4",16.5506270096093,26.8653965147375
"74","PO4",17.6749188788565,26.8655738425944
"75","PO4",18.8749065815531,26.8656943880172
"76","PO4",20.155686533815,26.8657790088089
"77","PO4",21.5226982810438,26.8658380260916
"78","PO4",22.9817475999849,26.8658782799376
"79","PO4",24.539031156193,26.8659049593343
"80","PO4",26.201162821623,26.8659220846864
"81","PO4",27.9752017641212,26.8659327042871
"82","PO4",29.8686824281128,26.8659390508115
"83","PO4",31.8896465338169,26.8659426969505
"84","PO4",34.0466772308902,26.8659447052971
"85","PO4",36.3489355515522,26.8659457629116
"86","PO4",38.8061993180108,26.8659462938013
"87","PO4",41.4289046694303,26.865946547007
"88","PO4",44.2281903848088,26.8659466614441
"89","PO4",47.2159451900068,26.8659467103196
"90","PO4",50.404858249843,26.8659467299357
"91","PO4",53.8084730597003,26.8659467374013
"92","PO4",57.4412449655217,26.8659467401744
"93","PO4",61.3186025564878,26.8659467411847
"94","PO4",65.4570131911141,26.8659467415977
"95","PO4",69.8740529350601,26.8659467418466
"96","PO4",74.5884812076812,26.8659467420591
"97","PO4",79.6203204543515,26.8659467423295
"98","PO4",84.990941182929,26.865946742553
"99","PO4",90.7231527255202,26.8659467428659
"100","PO4",96.8413001110122,26.8659467429543
